COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
CEM143,MONITORAMENTO DA QUALIDADE DO SOLO,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
AE055,EXTENSÃO E COMUNICAÇÃO RURAL,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AL039,CONSERVAÇÃO DE SOLO E ÁGUA,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AS052,ECOLOGIA FLORESTAL,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
HPAC0573,INTRODUÇÃO ÀS LITERATURAS DE EXPRESSÃO ALEMÃ EM TRADUÇÃO,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
CE003,ESTATÍSTICA II,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
CI1001,PROGRAMAÇÃO 1,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
CM312,CÁLCULO 2,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
CI1059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
SIN203,GESTÃO DE TECNOLOGIA DA INFORMAÇÃO,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
ECV171,PROJETO HIDROSSANITÁRIO,40001016029G0,Não,ENGENHARIA CIVIL  - Presencial - Pontal do Paraná,40001016029G0,CENTRO DE ESTUDOS DO MAR
